交易时间,ID,金额,截止时间,用户,状态
2019/4/22,S003S003001,30,2019/5/20,None,FREE
2019/4/22,S003S003002,30,2019/5/20,B025,FREE
2019/4/22,S003S003003,30,2019/5/20,None,FREE
2019/4/22,S003S003004,40,2019/5/20,B026,FREE
2019/4/22,S003S003005,40,2019/5/20,B027,FREE
2019/4/22,S003S003006,40,2019/5/20,B028,FREE
2019/4/22,S003S003007,50,2019/5/20,B029,FREE
2019/4/22,S003S003008,50,2019/5/20,B030,FREE
2019/4/22,S003S003009,50,2019/5/20,None,FREE
2019/4/22,S003S003010,60,2019/5/20,B031,FREE
2019/4/21,S003J001001,70,2019/5/20,B032,FREE
2019/4/21,S003J001002,40,2019/5/20,B033,FREE
2019/4/21,S003J001003,20,2019/5/20,None,FREE
2019/4/21,S003J001004,50,2019/5/20,B034,FREE
2019/4/21,S003J001005,60,2019/5/20,B035,FREE
2019/4/21,S003J001006,10,2019/5/20,None,FREE
2019/4/21,S003J001007,30,2019/5/20,B036,FREE
2019/4/21,S003J001008,50,2019/5/20,B037,FREE
2019/4/21,S003J001009,40,2019/5/20,B038,FREE
2019/4/21,S003J001010,50,2019/5/20,B039,FREE
2019/4/11,S004S004001,60,2019/5/31,None,FREE
2019/4/11,S004S004002,30,2019/5/31,B040,FREE
2019/4/11,S004S004003,50,2019/5/31,None,FREE
2019/4/11,S004S004004,40,2019/5/31,B041,FREE
2019/4/11,S004S004005,20,2019/5/31,None,FREE
2019/4/11,S004S004006,30,2019/5/31,B042,FREE
2019/4/11,S004S004007,10,2019/5/31,B043,FREE
2019/4/11,S004S004008,40,2019/5/31,B044,FREE
2019/4/11,S004S004009,50,2019/5/31,B045,FREE
2019/4/11,S004S004010,70,2019/5/31,None,FREE
2019/4/13,S004J002001,90,2019/5/31,B046,FREE
2019/4/13,S004J002002,50,2019/5/31,B047,FREE
2019/4/13,S004J002003,60,2019/5/31,B048,FREE
2019/4/13,S004J002004,70,2019/5/31,B049,FREE
2019/4/13,S004J002005,10,2019/5/31,B050,FREE
2019/4/13,S004J002006,40,2019/5/31,B051,FREE
2019/4/13,S004J002007,80,2019/5/31,B052,FREE
2019/4/13,S004J002008,90,2019/5/31,None,FREE
2019/4/13,S004J002009,50,2019/5/31,B053,FREE
2019/4/13,S004J002010,60,2019/5/31,B054,FREE
2019/5/5,S005S005001,50,2019/6/30,B055,FREE
2019/5/5,S005S005002,10,2019/6/30,B056,FREE
2019/5/5,S005S005003,30,2019/6/30,None,FREE
2019/5/5,S005S005004,40,2019/6/30,B057,FREE
2019/5/5,S005S005005,20,2019/6/30,B058,FREE
2019/5/5,S005S005006,50,2019/6/30,B059,FREE
2019/5/5,S005S005007,30,2019/6/30,None,FREE
2019/5/5,S005S005008,10,2019/6/30,B060,FREE
2019/5/5,S005S005009,40,2019/6/30,None,FREE
2019/5/5,S005S005010,50,2019/6/30,B061,FREE
2019/5/2,S005J002001,70,2019/6/30,None,FREE
2019/5/2,S005J002002,10,2019/6/30,B062,FREE
2019/5/2,S005J002003,80,2019/6/30,None,FREE
2019/5/2,S005J002004,60,2019/6/30,None,FREE
2019/5/2,S005J002005,10,2019/6/30,None,FREE
2019/5/2,S005J002006,40,2019/6/30,B063,FREE
2019/5/2,S005J002007,50,2019/6/30,B064,FREE
2019/5/2,S005J002008,30,2019/6/30,None,FREE
2019/5/2,S005J002009,20,2019/6/30,None,FREE
2019/5/2,S005J002010,40,2019/6/30,None,FREE
